Countries,F1,F2
Angola,-0.8152974305564714,-0.6536247783487142
Albania,-0.3244100801362096,0.4027672220778403
United Arab Emirates,1.1663629843649244,-0.6231523318737557
Argentina,0.7816618361463548,-2.9381835359196624
Armenia,-0.1782539152169461,0.4010052994659522
Australia,1.4941874460705087,0.793298186915059
Austria,1.5284721620857074,0.5176060913661774
Azerbaijan,0.7188151086948934,-2.203081538893132
Burundi,-1.254892690776931,0.3709709653990023
Belgium,1.4856819950079305,0.6441096164728245
Benin,-0.7008842987941292,0.46973610050288467
Burkina Faso,-0.41429865631348334,0.4379645893556444
Bangladesh,-1.4642476769863513,0.549632288701501
Bulgaria,0.1155197771362122,0.26453202975517476
Bahrain,0.8451679283412009,0.14827582690966845
"Bahamas, The",-0.2017375149541536,-0.2845823031769874
Bosnia and Herzegovina,-0.5958851652956615,0.18481927005755078
Belarus,-1.9246963028997228,0.32707943688840013
Belize,-0.38242736674346434,0.222372042548856
Bolivia,-1.4093138542578023,0.40143554068741877
Brazil,-0.12020037652387514,0.30079581547534906
Barbados,0.09399434859424678,0.6729856134664846
Brunei Darussalam,1.1124899071240122,-1.2412411251951319
Bhutan,-0.17674007418347634,0.7738992875267303
Botswana,0.3280335852451467,0.3127059226532754
Central African Republic,-1.999311899496212,0.28513874033699754
Canada,1.36224554499965,0.6286470499313068
Switzerland,1.574729135599719,0.6943269596807599
Chile,0.8245861729144732,0.6014616373658418
China,-0.4838850099015837,0.6607808933108833
Cote d'Ivoire,-0.7034350278758096,0.6971015627229207
Cameroon,-1.2259515290530718,0.5626716130611616
"Congo, Dem. Rep.",-1.787988381665596,0.24199574753402772
"Congo, Rep.",0.10067811223917622,-1.9431220193155143
Colombia,-0.2606754008221254,0.14591694973625896
Comoros,-1.246682688306638,0.3680095529603327
Cabo Verde,0.10892075896386039,0.5173625734973503
Costa Rica,0.5431686007010764,0.5727262153325757
Cyprus,1.0055034581671245,0.6247165413291845
Czechia,0.9450142932515774,0.655687996157557
Germany,1.4611805434455667,0.638196802265654
Djibouti,-0.7920547775455297,0.5234920506485804
Denmark,1.8758759515599566,0.30141426295393614
Dominican Republic,-0.3535798715966127,0.478684439709859
Algeria,-0.23326393733058648,-0.9944827211554549
Ecuador,-0.8168204432482304,0.38434480234390983
"Egypt, Arab Rep.",-0.3463529795411414,-0.4089458696278508
Spain,1.0404699143035425,0.541213286312985
Estonia,1.73384387944266,0.2019135999891521
Ethiopia,-1.231210023518149,-0.6600740944421593
Finland,1.8288702317393273,0.6813057310756001
Fiji,-1.0222388613902518,0.3834886633434061
France,1.284958632425613,0.696559802449301
Gabon,-0.36173202571096347,-1.185303130590643
United Kingdom,1.179577813864933,0.6131843118854995
Georgia,0.17778341207726894,0.48804508162971855
Ghana,-0.15968090088149206,-0.7592445257119256
Guinea,-1.1868047582367234,0.20228890815919123
"Gambia, The",-0.387148516137193,0.3780446403235177
Guinea-Bissau,-1.4907719658440235,0.12387395032814803
Greece,0.28721907139804204,0.4283563681375164
Guatemala,-0.33500509148030744,0.7379575365975736
Guyana,0.6034265679532514,-2.013933225034524
"Hong Kong SAR, China",1.0547098079782922,1.0109218374707751
Honduras,-0.7214122456993697,0.6340375009760767
Croatia,0.017609365626476643,0.24957899889514112
Haiti,-1.711621039852757,0.10179316960605715
Hungary,0.15441434808411816,0.3867021644205538
Indonesia,-0.22927379267027398,0.18068199389279818
India,-0.33595724369045143,0.3590795917422329
Ireland,1.4164482417741282,0.7933573314746405
"Iran, Islamic Rep.",-1.4896633183146724,-0.7033701391109762
Iraq,0.2707121810303481,-2.2480093030249595
Iceland,1.3359641409078333,0.791003537286984
Israel,0.9031760103202873,0.9810230751770902
Italy,0.37748768050347925,0.6527120038988069
Jamaica,0.27794885532795044,0.3953038399845684
Jordan,0.0196036476322595,0.8604433168065038
Japan,1.4426293632923675,0.8404213407277533
Kazakhstan,-0.2743563616620713,0.04151838725794613
Kenya,-0.521321896560816,0.7332293507724906
Kyrgyz Republic,-0.45201910114745647,-0.35900135408566763
Cambodia,-0.931816119599721,0.48024679700443446
"Korea, Rep.",0.9802082114191042,0.8075949574309569
Kuwait,1.3786277779110032,-1.6643027455790214
Lao PDR,-0.8990027525503083,-0.2631039084565559
Lebanon,0.02658136649286214,-2.8921047985009007
Liberia,-0.8231284269083864,0.22041431780791518
Libya,-0.15030284184247666,-2.882397265750086
Sri Lanka,0.45133373012257383,-2.1072363820471627
Lesotho,-0.762636001265441,0.6009471094192171
Lithuania,0.897953694850607,0.18188859172680594
Luxembourg,1.7490392420816767,0.9056967841781619
Latvia,0.9118833641006485,0.5843748249512658
Morocco,-0.19565584759145838,0.6616817615514049
Moldova,-0.036304066676343436,-0.1010452530168807
Madagascar,-1.1749636907772447,0.7459280057243453
Mexico,-0.6848848638642745,0.7262672171132016
North Macedonia,-0.3783188726601386,0.27754272206341296
Mali,-0.9006143616356985,0.542098820962708
Malta,1.0323112640343248,0.843067064839028
Myanmar,-1.5069671646639393,0.023440835820164766
Montenegro,0.14204897806389633,0.2253912992637139
Mongolia,-0.08490492485782816,-0.05703277217932427
Mozambique,-1.2093853146399043,0.4995890686656121
Mauritania,-0.9673982183542478,0.401659081973808
Mauritius,0.5977374651645239,0.4584058091160876
Malawi,-0.649903844229385,-0.17537525589387767
Malaysia,0.7121437271885249,0.3286616125090413
Namibia,-0.2886357174031003,0.5646827410001473
Niger,-0.8157381557871133,0.5916334028635192
Nigeria,-1.5475649893899661,0.8228246055386464
Nicaragua,-1.5355310451178157,0.5180821171906131
Netherlands,1.639617061899406,0.784260264456426
Norway,2.4439942961991745,-1.4011823258172074
Nepal,-0.6635148756675684,0.4318138737277613
New Zealand,1.6927652148558086,0.7132817163214529
Oman,1.2158072635996284,-1.1444230201032504
Pakistan,-0.7430731983014517,-0.2268120979880692
Panama,0.03131877443593794,0.739057724679345
Peru,-0.3409809200989874,0.5995993283539017
Philippines,-0.22654391804478832,0.6426437317419622
Papua New Guinea,-0.31491744304385166,-0.11462600058936936
Poland,0.045847174532900076,0.4532516469340219
Portugal,0.9512102697860836,0.5343921750849683
Paraguay,-0.49836634042297767,0.41849196316213194
Qatar,1.6972679045264607,-1.6861304154018222
Romania,0.40613430348383167,0.31048813491553573
Russian Federation,-0.5453639276877786,-0.5127917757597571
Rwanda,-0.18323651870397079,0.31535018297133793
Saudi Arabia,1.0922571011870736,-0.6200263981182458
Sudan,-0.4623475036746059,-2.817215429253787
Senegal,-0.5163576306286112,0.4104800834352916
Singapore,1.8341368614905478,0.07263662426279982
Sierra Leone,-0.576693615062514,-0.7056194601967287
El Salvador,-0.8086900319184648,0.5062266443649324
Somalia,-2.2221451017083287,0.5699179399586835
Serbia,-0.025637944365739317,0.1755161532929346
Suriname,0.3014388490073437,-2.171613151578222
Slovak Republic,0.47782006986196945,0.391408424277766
Slovenia,0.5602490920554825,0.43296154201463677
Sweden,1.4804019989262107,0.7618406864810234
Eswatini,-1.1372597184138178,0.30885720480679935
Seychelles,0.17265044748700495,0.7742026401765244
Syrian Arab Republic,-0.563745550236691,-2.9858883937443124
Chad,-1.5803610332374671,-0.7259419024495994
Togo,-0.7473713555285929,0.5759210368745621
Thailand,0.31136680086309587,0.6415463584786013
Tajikistan,-0.9273471735585788,0.37165679705001214
Timor-Leste,1.1153412546231427,-2.6242002509877773
Trinidad and Tobago,0.9247310092629198,-1.2448490474552196
Tunisia,-0.4399539138568555,0.5015725326932324
Turkiye,0.8034991109090001,-2.7771469134333646
Taiwan,0.9590234443513811,0.8108482289348528
Tanzania,-0.5280331323810018,0.4574771447806285
Uganda,-0.6299835720737744,0.6114123342701007
Ukraine,-0.39415766098538035,-0.6501158469958505
Uruguay,0.8631873204940921,0.2873098825007904
United States,1.1266036562216384,0.6040124852537588
"Venezuela, RB",-1.1965618277937984,-3.1330280087498767
Vietnam,-0.7623281231322366,0.6387144719991796
"Yemen, Rep.",-0.37888837932095193,-3.09167223348292
South Africa,-0.16598121748949168,0.9162355122068111
Zambia,-0.33214459088024306,-0.20422854494350273
Zimbabwe,-0.32653298697322636,-2.8427502829241766
